a_Cr,a_Si,a_Mo,a_Co,a_C,a_Mn,C0,a_Ni,a_Al,a_V
272.68572998046875,77.49749755859375,452.815185546875,573.8171997070312,138.8818359375,282.71612548828125,86.390625,83.693603515625,-205.583740234375,423.8408203125
253.57562255859375,64.31060791015625,498.40301513671875,279.16766357421875,191.71429443359375,311.92138671875,22.063720703125,74.905029296875,-161.6002197265625,601.4774780273438
274.08233642578125,50.40289306640625,468.32244873046875,298.759765625,191.1531982421875,307.44097900390625,15.996826171875,63.85565185546875,-91.4051513671875,731.7325439453125
273.27069091796875,56.32476806640625,476.0137939453125,295.521240234375,158.58551025390625,285.50604248046875,33.384521484375,87.6109619140625,-130.1815185546875,664.2896728515625
311.89794921875,69.095947265625,483.29669189453125,408.226318359375,146.7408447265625,324.68084716796875,3.7816162109375,77.82666015625,-150.107421875,977.40380859375
284.7503662109375,64.62457275390625,447.9932861328125,518.8271484375,146.611083984375,313.189208984375,45.0533447265625,59.26531982421875,-118.3831787109375,971.0467529296875
300.22784423828125,51.36614990234375,523.15771484375,390.4613037109375,138.5164794921875,334.48760986328125,15.4718017578125,85.4906005859375,-87.192138671875,653.8009033203125
299.31005859375,63.70159912109375,504.003662109375,390.253173828125,152.2960205078125,321.413818359375,1.4847412109375,78.17279052734375,-161.64453125,807.583251953125
295.7806396484375,85.4569091796875,481.15240478515625,424.30267333984375,153.73565673828125,271.0863037109375,25.2557373046875,92.197998046875,-83.251708984375,583.6153564453125
273.845947265625,66.17083740234375,454.17431640625,280.28643798828125,178.85614013671875,314.80322265625,15.9615478515625,91.01922607421875,-176.1351318359375,584.857421875
275.683349609375,93.3477783203125,507.53753662109375,467.17999267578125,170.0986328125,257.0223388671875,3.7379150390625,98.49688720703125,-198.5699462890625,370.3048095703125
278.9306640625,80.03076171875,498.5898132324219,562.980712890625,142.00823974609375,310.35919189453125,9.5863037109375,104.1588134765625,-261.7022705078125,331.0350341796875
317.06341552734375,79.328369140625,492.7173156738281,469.30126953125,161.59228515625,280.5665283203125,7.0462646484375,79.370849609375,-228.4395751953125,271.57623291015625
257.94793701171875,64.202880859375,456.82269287109375,538.192138671875,184.4434814453125,327.4483642578125,31.04150390625,60.7501220703125,-283.09326171875,309.31817626953125
286.20819091796875,73.780517578125,486.37396240234375,330.6492919921875,138.7742919921875,292.59991455078125,61.3062744140625,79.628173828125,-107.084228515625,238.0911865234375
293.0535888671875,64.34600830078125,483.86492919921875,415.6077880859375,170.46551513671875,306.2960205078125,10.552734375,81.84307861328125,-123.1402587890625,114.3077392578125
