e_Mo,e_Co,e_0,e_Cr,e_Mn,sigma,e_C,e_Al,e_V,e_Ni,e_Si,nu
-67.51469421386719,-34.516021728515625,736.185546875,-45.49143981933594,-70.32843017578125,21.74256134033203,-37.293609619140625,10.303802490234375,-78.32423400878906,-28.01318359375,-6.681915283203125,63.28647994995117
-72.755615234375,-42.121826171875,744.2733764648438,-49.415496826171875,-70.08018493652344,20.57664680480957,-36.529937744140625,8.498443603515625,-74.11383056640625,-28.69952392578125,-8.94195556640625,59.385047912597656
-67.64402770996094,-43.131866455078125,737.22265625,-44.63179016113281,-71.83982849121094,22.8286075592041,-36.543426513671875,29.88232421875,-96.02070617675781,-27.79669189453125,-11.01104736328125,59.13237380981445
-80.12562561035156,-44.74617004394531,757.08544921875,-53.85284423828125,-70.09181213378906,20.859561920166016,-39.8760986328125,26.335479736328125,-68.99632263183594,-28.022735595703125,-11.118255615234375,69.03330993652344
-78.68496704101562,-31.923187255859375,765.8167724609375,-49.56684875488281,-75.49067687988281,20.52941131591797,-41.6083984375,27.020294189453125,-75.31011962890625,-33.513397216796875,-11.430389404296875,65.07699584960938
-82.97636413574219,-27.05657958984375,763.4033813476562,-50.860107421875,-73.40737915039062,21.868803024291992,-39.027191162109375,19.519744873046875,-40.23822021484375,-32.034759521484375,-13.52874755859375,61.958560943603516
-73.24571228027344,-10.55078125,743.6422119140625,-48.62449645996094,-66.40974426269531,19.50008201599121,-36.524749755859375,11.59912109375,-57.24928283691406,-27.60302734375,-12.88775634765625,60.76643371582031
-71.48677062988281,-17.21319580078125,734.3202514648438,-45.92521667480469,-71.23922729492188,18.330310821533203,-33.329498291015625,7.12188720703125,-80.34771728515625,-29.11151123046875,-9.01629638671875,66.15168762207031
-71.38784790039062,-28.1246337890625,746.6683349609375,-47.838165283203125,-76.13078308105469,20.303218841552734,-36.935211181640625,17.9443359375,-69.62985229492188,-29.342071533203125,-8.776214599609375,61.64023208618164
-67.38107299804688,-51.31471252441406,736.2283935546875,-50.49360656738281,-74.55867004394531,22.63855743408203,-34.019775390625,18.18841552734375,-113.46180725097656,-24.627410888671875,-6.2032470703125,51.74445343017578
-66.49700927734375,-37.6932373046875,737.406005859375,-50.82171630859375,-64.94302368164062,20.21847915649414,-33.6734619140625,23.014984130859375,-105.86732482910156,-28.151153564453125,-11.14788818359375,27.128612518310547
-69.88473510742188,-27.14031982421875,729.0713500976562,-49.82177734375,-64.08116149902344,20.62106704711914,-30.872467041015625,7.839141845703125,-19.976348876953125,-28.97308349609375,-11.934539794921875,40.76951217651367
-72.97879028320312,-30.775787353515625,738.5208129882812,-50.68792724609375,-69.44755554199219,22.286659240722656,-34.470794677734375,14.301910400390625,-18.773162841796875,-26.50299072265625,-9.85955810546875,39.185020446777344
-68.62554931640625,-23.56060791015625,737.8245849609375,-46.88749694824219,-68.29435729980469,20.139114379882812,-35.7828369140625,8.4432373046875,-12.856689453125,-30.5767822265625,-11.492340087890625,32.62565231323242
-74.51727294921875,-22.652191162109375,753.4512939453125,-52.620391845703125,-77.02755737304688,22.197063446044922,-35.7366943359375,14.90081787109375,-29.684417724609375,-29.32977294921875,-7.458038330078125,65.7938461303711
-79.64205932617188,-32.363250732421875,757.0810546875,-51.05473327636719,-74.78707885742188,20.816322326660156,-39.425384521484375,23.670501708984375,-18.339447021484375,-27.825836181640625,-11.128265380859375,61.19383239746094
-79.74220275878906,-31.08050537109375,758.2211303710938,-45.49591064453125,-74.53462219238281,19.203275680541992,-39.720794677734375,22.514495849609375,-24.667388916015625,-33.90716552734375,-10.926177978515625,43.09634780883789
-75.87203979492188,-20.074554443359375,751.916015625,-52.016448974609375,-69.31048583984375,20.78255271911621,-39.298553466796875,25.7669677734375,-14.106597900390625,-30.13232421875,-10.780059814453125,19.396076202392578
-78.9178466796875,-31.024017333984375,759.7462158203125,-50.24610900878906,-80.40544128417969,18.71075439453125,-38.320404052734375,19.014801025390625,-30.544403076171875,-31.00823974609375,-11.065887451171875,24.592212677001953
-72.80564880371094,-15.412506103515625,745.7913818359375,-52.27891540527344,-73.95030212402344,18.771488189697266,-37.830078125,17.2701416015625,-68.36619567871094,-25.42730712890625,-8.093719482421875,11.33641242980957
-77.18707275390625,-24.750823974609375,742.0592041015625,-47.61759948730469,-70.0595703125,18.978530883789062,-33.37060546875,2.875396728515625,-56.676849365234375,-31.433013916015625,-10.4622802734375,18.177059173583984
